Product Name,Product Link,Product_Description,Product Comment,Product Review,Product Upvotes
Siftery,https://www.producthunt.com/products/siftery#siftery,"Share products you use at work,explore what others are using",208,2 reviews,"3,618"
Sunsama,https://www.producthunt.com/products/sunsama#sunsama-2,If Trello & Google Calendar had a baby.,108,24 reviews,"3,525"
PixelSnap,https://www.producthunt.com/products/pixelsnap#pixelsnap,Measure every pixel on your screen with ease ✨,137,26 reviews,"3,454"
Sheety,https://www.producthunt.com/products/sheety#sheety,"Turn your Google Sheet into an API instantly, for free",73,6 reviews,"3,366"
Tango,https://www.producthunt.com/products/tango-4#tango-ea7e889d-3878-4e0d-9c92-e05d566728b4,Automatically create how-to guides with screenshots,503,48 reviews,"3,818"
Helium,https://www.producthunt.com/products/helium-3#helium-3,A floating browser window for your Mac,68,1 review,"3,114"
Learn Anything,https://www.producthunt.com/products/learn-anything#learn-anything-4,Search Interactive Maps to Learn Anything,42,1 review,"3,151"
Notion 1.0 Web + Mac App,https://www.producthunt.com/products/notion#notion-1-0-web-mac-app,"Docs, wikis, tasks – a minimal & unified workspace for teams",170,13 reviews,"5,378"
Noizio,https://www.producthunt.com/products/noizio#noizio,Ambient background sounds for your Mac,52,1 review,"3,106"
Slack for Mac,https://www.producthunt.com/products/slack#slack-for-mac,"A new, improved Slack desktop app for Mac",113,5 reviews,"3,275"
Morning Brew,https://www.producthunt.com/products/morning-brew#morning-brew-2,"The hottest news from Wall St. to Silicon Valley, daily ✉️",208,72 reviews,"4,689"
Web Gradients,https://www.producthunt.com/products/web-gradients#web-gradients,Curated collection of 180 free fresh background gradients 🚀,81,1 review,"3,101"
Jamboard,https://www.producthunt.com/posts/jamboard-5,"It's like a whiteboard, but waaay better. From Google.",85,,"2,912"
Logo,https://www.producthunt.com/products/shape-factory#logo,"Clean, simple, hassle-free logo design",98,16 reviews,"3,042"
Crello,https://www.producthunt.com/products/crello#crello,Add animation to your content easily.,196,38 reviews,"5,615"
New Gmail,https://www.producthunt.com/products/gmail#new-gmail,The new version of Gmail web,103,13 reviews,"2,997"
Cal.com,https://www.producthunt.com/products/cal-com#cal-com,Scheduling infrastructure for absolutely everyone,148,9 reviews,"2,568"
Roadmap beta,https://www.producthunt.com/products/roadmap#roadmap-beta,Plan projects and manage resources with ease.,93,1 review,"2,838"
Resume.io,https://www.producthunt.com/products/resume-io#resume-io,Build your job-winning resume in minutes,187,84 reviews,"2,970"
Duet Display,https://www.producthunt.com/products/duet-display#duet-display,Use your iPad as a second display for your Mac,49,3 reviews,"2,804"
Toby,https://www.producthunt.com/products/toby#toby-3,Better Than Bookmarks,277,15 reviews,"2,721"
Paper 3.0,https://www.producthunt.com/products/itunes#paper-3-0,The new sticky note,61,1 review,"2,714"
1.1.1.1 by Cloudflare,https://www.producthunt.com/products/1-1-1-1#1-1-1-1-by-cloudflare,"The Internet’s fastest, privacy-first DNS resolver",59,10 reviews,"2,797"
Marketing Resources List,https://www.producthunt.com/products/fyi#marketing-resources-list,The biggest collection of free marketing resources,105,8 reviews,"2,868"
Trends.vc,https://www.producthunt.com/products/trends-vc#trends-vc,Discover new markets and ideas,311,41 reviews,"2,964"
Web.dev by Google,https://www.producthunt.com/products/chrome-developers#web-dev-by-google,Learn how to build for the web and see where you stand 🌟,38,7 reviews,"2,881"
Sizzy,https://www.producthunt.com/products/sizzy#sizzy-8,The browser for designers and developers,107,9 reviews,"2,830"
Sidekick Browser,https://www.producthunt.com/products/sidekick-browser#sidekick-browser,The fastest browser built for work.,370,42 reviews,"2,824"
Loom,https://www.producthunt.com/products/loom#loom-4,"Seamless screen, mic, and camera recording for Chrome",331,24 reviews,"2,616"
IconBros,https://www.producthunt.com/products/iconbros#iconbros,Free and continuously growing high quality icons,34,3 reviews,"2,716"
Notion for iOS,https://www.producthunt.com/products/notion#notion-for-ios,"A collaborative editor for notes, tasks, and wikis",152,78 reviews,"2,761"
PFPMaker,https://www.producthunt.com/products/pfpmaker#pfpmaker,Create an awesome profile pic from any photo,194,13 reviews,"2,809"
Sortd for Gmail,https://www.producthunt.com/products/sortd#sortd-for-gmail,Trello for Gmail - Transform your email into organized lists,169,7 reviews,"3,672"
Airtable 2.0,https://www.producthunt.com/products/airtable#airtable-2-0,Beyond the spreadsheet,99,8 reviews,"2,467"
Magnet 2.0,https://www.producthunt.com/products/itunes#magnet-2-0,Window manager for Mac,82,4 reviews,"2,514"
Milanote,https://www.producthunt.com/products/milanote#milanote-2,The notes app for creative work,107,7 reviews,"2,478"
Indie Hackers Community,https://www.producthunt.com/products/indie-hackers#indie-hackers-community,Work together to build profitable businesses & side projects,84,17 reviews,"2,505"
Oristand,https://www.producthunt.com/products/oristand#oristand,"A super affordable, portable standing desk",117,2 reviews,"2,379"
Standard Resume,https://www.producthunt.com/products/standard-resume#standard-resume,One beautiful resume that works everywhere,65,6 reviews,"2,383"
Bardeen,https://www.producthunt.com/products/bardeen#bardeen,One-click automations for your repetitive tasks,574,63 reviews,"2,601"
Spline,https://www.producthunt.com/products/spline#spline,Design tool for 3D web experiences,171,14 reviews,"2,527"
Softr 2.0,https://www.producthunt.com/products/softr#softr-2-0,"Build web apps & portals from Airtable, no code required",392,52 reviews,"2,293"
Slite,https://www.producthunt.com/products/slite#slite-2,One combined workspace. All of your team documentation.,145,44 reviews,"2,656"
Alfred 3,https://www.producthunt.com/products/alfred#alfred-3-3,The Mac's best launcher just got a whole lot better,66,3 reviews,"2,370"
Cron,https://www.producthunt.com/products/cron#cron,Next-generation calendar for professionals and teams,334,79 reviews,"2,311"
Spirit,https://www.producthunt.com/products/spirit#spirit-4,The animation tool for the web.,69,7 reviews,"2,404"
Interactive Screen Sharing in Slack,https://www.producthunt.com/products/slack#interactive-screen-sharing-in-slack,The next best thing to working in the same room,15,2 reviews,"2,513"
Airtable Blocks,https://www.producthunt.com/products/airtable#airtable-blocks,Modular apps that enable anyone to build complex software,42,,"2,355"
Atlassian Design,https://www.producthunt.com/products/atlassian-design#atlassian-design-2,"Design, develop, and deliver",32,5 reviews,"2,417"
Plan,https://www.producthunt.com/products/plan#plan,A beautiful organizer that integrates into your calendar,133,7 reviews,"2,330"
Clean Mockups,https://www.producthunt.com/products/cleanmock#clean-mockups,Create stunning mockups that make your design standout,55,1 review,"2,533"
Things 3.0,https://www.producthunt.com/products/things-3#things-3-0,"Complete revamp of the original, award-winning task manager",100,10 reviews,"2,333"
Boomerang Respondable,https://www.producthunt.com/products/boomerang-for-gmail#boomerang-respondable,Write perfect emails with Artificial Intelligence,115,,"2,326"
Amie,https://www.producthunt.com/products/amie-2#amie-4,The joyful productivity app,335,16 reviews,"2,292"
Slab,https://www.producthunt.com/products/slab#slab-3,Modern knowledge base & wiki for teams,65,10 reviews,"2,721"
Telegram 4.0,https://www.producthunt.com/products/google-play#telegram-4-0,The best messenger for every platform,65,9 reviews,"2,589"
Beautiful.AI,https://www.producthunt.com/products/beautiful-ai#beautiful-ai,AI-powered presentations,75,24 reviews,"2,333"
M,https://www.producthunt.com/products/m#m,A personal assistant built inside Facebook Messenger,73,,"2,219"
Around,https://www.producthunt.com/products/around-co#around-6,Next-gen video calls for a new era of work,123,14 reviews,"2,268"
Sans Francisco,https://www.producthunt.com/products/sans-francisco#sans-francisco,A collection of tools and resources for designers,66,,"2,144"
Notify,https://www.producthunt.com/products/notify#notify,Get notified in Slack when your startup is mentioned online,57,,"2,085"
The New Uber Rider App,https://www.producthunt.com/products/itunes#the-new-uber-rider-app,Where to? See upfront fares & estimated arrival times,75,1 review,"2,159"
Supernova Studio,https://www.producthunt.com/products/supernova#supernova-studio,"Convert Sketch into iOS, Android and React apps in minutes",65,5 reviews,"2,162"
Trello Desktop for Mac,https://www.producthunt.com/products/itunes#trello-desktop-for-mac,Get More Done Without Distractions,58,9 reviews,"2,090"
There,https://www.producthunt.com/products/there#there,Never think of timezones again!,137,6 reviews,"2,106"
Untools,https://www.producthunt.com/products/untools#untools,Hand-picked tools for better thinking,46,5 reviews,"2,107"
App Launch Checklist,https://www.producthunt.com/products/demoapp-link#app-launch-checklist,Planning tool for launching your app successfully,63,2 reviews,"2,637"
SavvyCal,https://www.producthunt.com/products/savvycal#savvycal,Sending your scheduling link shouldn't feel weird.,252,25 reviews,"2,224"
Synthesia,https://www.producthunt.com/products/synthesia#synthesia-2,Generate professional-looking AI videos from text in minutes,160,11 reviews,"2,181"
tl;dv for Google Meet,https://www.producthunt.com/products/tl-dv#tl-dv-for-google-meet,Catch up on meetings in minutes,648,35 reviews,"2,397"
Lacona,https://www.producthunt.com/products/lacona#lacona,"Fast, simple, powerful keyboard-driven commands for Mac",139,1 review,"1,984"
Bear,https://www.producthunt.com/products/itunes#bear,"A beautiful, flexible writing app for notes and prose",179,16 reviews,"2,952"
RealtimeBoard 3.0,https://www.producthunt.com/products/google-play#realtimeboard-3-0,Enhanced whiteboard. Your guide to the future of teamwork,44,12 reviews,"2,126"
How to say no.,https://www.producthunt.com/products/starter-story#how-to-say-no,Templates to help you say no in any situation.,110,8 reviews,"2,115"
Memory AI,https://www.producthunt.com/products/timely-2#memory-ai,Fully automatic time tracking powered by deep learning,65,5 reviews,"2,250"
Evernote Web - Oct 2014,https://www.producthunt.com/products/evernote#evernote-web-oct-2014,Note taking gets even simpler,28,10 reviews,"2,223"
Screen Sharing in Slack,https://www.producthunt.com/products/slack#screen-sharing-in-slack,A simple way to share your ideas and your screen,64,2 reviews,"2,071"
Startup 3,https://www.producthunt.com/products/designmodo#startup-3-2,Create websites and landing pages with Startup 3 🚀,62,7 reviews,"2,227"
Visual Biographies,https://www.producthunt.com/products/adioma#visual-biographies,Timelines of amazing lives for visual learners,75,,"1,957"
Nuage Email,https://www.producthunt.com/products/nuage-email#nuage-email,Create a custom address linked to your Gmail,120,,"1,923"
The New Headspace,https://www.producthunt.com/products/google-play#the-new-headspace,Learn to meditate and live mindfully,58,7 reviews,"2,088"
Raindrop.io 5.0,https://www.producthunt.com/products/raindrop-io#raindrop-io-5-0,All-in-one bookmark manager,144,20 reviews,"2,110"
n8n,https://www.producthunt.com/products/n8n-io#n8n,Open source workflow automation tool,80,2 reviews,"2,084"
folk,https://www.producthunt.com/products/folk-2#folk-3,"Next-generation CRM, for you and your team",341,19 reviews,"2,101"
Google Podcasts,https://www.producthunt.com/products/google-podcasts#google-podcasts,Discover and listen to the world's podcasts on Android.,97,13 reviews,"2,121"
Scale,https://www.producthunt.com/products/scale#scale,Get human tasks done with just one line of code.,109,2 reviews,"2,510"
Loom for Desktop,https://www.producthunt.com/products/loom#loom-for-desktop,Powerful video recorder. Now on Desktop.,113,23 reviews,"2,499"
Mighty,https://www.producthunt.com/products/mighty#mighty-5,Make Chrome faster and use 10x less memory,126,7 reviews,"1,747"
Tables by Google,https://www.producthunt.com/products/google#tables-by-google,Tables helps teams easily track & automate tasks,94,6 reviews,"1,967"
Startup with Google,https://www.producthunt.com/products/google#startup-with-google,Tools to help with your new startup,13,,"2,083"
Leave Me Alone,https://www.producthunt.com/products/leave-me-alone#leave-me-alone-3,Easily unsubscribe from spam emails 💌,165,26 reviews,"2,023"
SigmaOS,https://www.producthunt.com/products/sigmaos#sigmaos,The browser that makes YOU fast,408,25 reviews,"2,148"
Zendesk for Startups,https://www.producthunt.com/products/zendesk#zendesk-for-startups,Every customer counts when you're a startup.,42,5 reviews,"2,778"
CleanShot X,https://www.producthunt.com/products/cleanshot#cleanshot-x,Capture your Mac’s screen like a PRO ⚡️,165,16 reviews,"1,909"
Elegantt for Trello,https://www.producthunt.com/products/elegantt-for-trello#elegantt-for-trello,The most elegant way to manage your Trello projects,71,,"1,903"
CSS Scan 2.0,https://www.producthunt.com/products/css-scan#css-scan-2-0,The fastest and easiest way to inspect or copy CSS ⚡️,135,17 reviews,"2,014"
Pictogon,https://www.producthunt.com/products/pictogon#pictogon,The fastest and easiest way to create interactive images,83,8 reviews,"1,933"
The 1.1.1.1 App,https://www.producthunt.com/products/1-1-1-1#the-1-1-1-1-app,"Faster, more private internet by Cloudflare, now on mobile",61,4 reviews,"2,017"
Flow,https://www.producthunt.com/products/flow-2#flow-adaa408b-3cdf-4d57-97d5-890701242291,Beautiful project & task management for teams,74,13 reviews,"2,033"
Notion for iOS,https://www.producthunt.com/products/notion#notion-for-ios-2,"A collaborative editor for notes, tasks, and wikis",24,18 reviews,"2,588"
Figma 1.0,https://www.producthunt.com/products/figma#figma-1-0,The first interface design tool with real-time collaboration,59,4 reviews,"1,951"
Draftsend,https://www.producthunt.com/products/draftsend#draftsend,Presentations you can 👀 and 👂,136,7 reviews,"1,854"
Emblem,https://www.producthunt.com/products/emblem#emblem,Build your own beautiful brand,55,,"1,975"
Instaaa,https://www.producthunt.com/products/instaaa#instaaa,Promote your business on 100 directories with a single click,97,36 reviews,"1,881"
Escape,https://www.producthunt.com/products/focuslist#escape,Track all your unnecessary trips to distracting websites,56,1 review,"1,771"
Startup Collections,https://www.producthunt.com/products/startup-collections#startup-collections,"Resources & tools for entrepreneurs, designers & developers",38,,"1,872"
Kin Calendar,https://www.producthunt.com/products/kin#kin-calendar-2,The simple and connected calendar,199,,"1,870"
Notion Timeline,https://www.producthunt.com/products/notion#notion-timeline,Plot all your projects chronologically,60,6 reviews,"1,944"
Website Downloader,https://www.producthunt.com/products/website-downloader#website-downloader,Download source code from any website,94,10 reviews,"1,870"
Microsoft To-Do,https://www.producthunt.com/products/windows-app-store#microsoft-to-do,An intelligent task management app,151,6 reviews,"1,946"
Buy Me a Coffee 2.0,https://www.producthunt.com/products/buy-me-a-coffee#buy-me-a-coffee-2-0,Give your audience a way to thank you 🙌,233,20 reviews,"1,982"
FigJam by Figma,https://www.producthunt.com/products/figma#figjam-by-figma,An online whiteboard from Figma designed for teams,101,14 reviews,"1,690"
Scribe 2.0,https://www.producthunt.com/products/scribe-by-cursive#scribe-2-0-2,Automatically create step-by-step guides in seconds,300,26 reviews,"2,289"
Draftium,https://www.producthunt.com/products/draftium#draftium,Turbo prototyping tool for websites 🚀,130,34 reviews,"2,102"
Animista,https://www.producthunt.com/products/animista#animista,Create beautiful CSS animations in your browser,55,,"1,796"
Magnet for Mac,https://www.producthunt.com/products/magnet-2#magnet-for-mac,Keep your workspace organized,54,2 reviews,"1,740"
Learn Anything,https://www.producthunt.com/products/learn-anything#learn-anything-3,Search Interactive Maps to Learn Anything,32,1 review,"1,851"
Makers by Product Hunt,https://www.producthunt.com/products/product-hunt#makers-by-product-hunt,"A place for Makers to share, connect, and reach their goals",60,7 reviews,"1,830"
Mine,https://www.producthunt.com/products/mine-2#mine-2,Discover and control what the internet knows about you,444,58 reviews,"3,183"
Tandem,https://www.producthunt.com/products/tandem-2#tandem-1d3ba275-7ccf-4074-bff0-d1ad006ba53b,A virtual office for remote & distributed teams,120,12 reviews,"1,840"
Airmail 3,https://www.producthunt.com/products/airmail#airmail-3-3,"A simple, beautiful email client for Mac and iOS",124,1 review,"1,794"
Matter,https://www.producthunt.com/products/matter#matter-6,Take control of your career. Peer feedback for professionals,128,26 reviews,"2,391"
Trello for Slack,https://www.producthunt.com/products/trello#trello-for-slack,"Organize anything with anyone, inside Slack",55,,"1,833"
Notion API beta,https://www.producthunt.com/products/notion#notion-api-beta,Connect Notion to the tools you use every day,69,8 reviews,"1,611"
Loom 2.0,https://www.producthunt.com/products/loom#loom-2-0,One-click screen recorder. Now w/ trimming & emoji reactions,130,52 reviews,"1,881"
Good Books,https://www.producthunt.com/products/good-books#good-books,"Largest curated collection of 6,500+ book recommendations.",168,15 reviews,"1,822"
Presentation templates by Pitch,https://www.producthunt.com/products/pitch#presentation-templates-by-pitch,Designed for big ideas and customizable for any story,93,15 reviews,"1,792"
Butter,https://www.producthunt.com/products/butter-e8a2b9c4-ea5f-4d20-92f0-c8ef4ae75bd1#butter-4,All-in-one tool for the smoothest virtual workshops 🧈,459,64 reviews,"1,601"
Spectrum,https://www.producthunt.com/products/spectrum#spectrum-6,Build better communities,110,15 reviews,"1,718"
Vimcal,https://www.producthunt.com/products/vimcal#vimcal,Superhuman for Calendar,475,58 reviews,"1,901"
Parabola 2.0,https://www.producthunt.com/products/parabola#parabola-2-0,Automate manual processes without spreadsheets or code,40,9 reviews,"1,764"
Workflow,https://www.producthunt.com/products/workflow#workflow-2,Automate things you do every day on your iPhone/iPad,41,,"1,679"
V.One,https://www.producthunt.com/products/v-one#v-one-2,The easiest way to build monetizable apps with no code.,217,18 reviews,"1,796"
Dropbox Paper Mobile,https://www.producthunt.com/products/dropbox#dropbox-paper-mobile,Organize your team’s knowledge in a single place,71,,"1,744"
Heyday,https://www.producthunt.com/products/heyday-2#heyday-4,Automatically organize content - without learning a new app,505,17 reviews,"1,658"
Vowel (Beta),https://www.producthunt.com/products/vowel#vowel-beta,A video conferencing tool that makes meetings better.,226,14 reviews,"1,939"
Product Resources List,https://www.producthunt.com/products/fyi#product-resources-list,The biggest list of free product management resources,60,2 reviews,"2,138"
Roadmap v.1.0,https://www.producthunt.com/products/roadmap#roadmap-v-1-0,Radically transparent project & team management app.,83,4 reviews,"1,746"
Slides 4,https://www.producthunt.com/products/designmodo#slides-4,Create impressive animated websites in minutes. 😻,31,4 reviews,"1,831"
Workona,https://www.producthunt.com/products/workona#workona,The essential work organizer for the browser,150,20 reviews,"1,779"
Freelancer Stack,https://www.producthunt.com/products/bonsai#freelancer-stack,"Curated directory of tools used by 10,000+ freelancers",51,,"2,096"
Startup Toolkit,https://www.producthunt.com/products/startup-toolkit#startup-toolkit,Interactive how-to guides to launch your startup,64,1 review,"2,970"
remove.bg for Photoshop,https://www.producthunt.com/products/remove-bg#remove-bg-for-photoshop,Remove the background of any image 100% automatically,48,8 reviews,"1,820"
Jitter Beta,https://www.producthunt.com/products/jitter-beta#jitter-beta,A simple animation tool on the web,236,18 reviews,"1,875"
Numi,https://www.producthunt.com/products/numi#numi,A beautiful calculator app for Mac,42,5 reviews,"1,602"
Trace by Sticker Mule,https://www.producthunt.com/products/trace-by-sticker-mule#trace-by-sticker-mule,Remove the background from any image for free,144,19 reviews,"2,070"
The Landing Page Analyzer by Unbounce,https://www.producthunt.com/products/unbounce#the-landing-page-analyzer-by-unbounce,A free tool that instantly grades your landing pages,63,20 reviews,"1,847"
Increment by Stripe,https://www.producthunt.com/products/increment-by-stripe#increment-by-stripe,A magazine about how teams build software systems at scale.,17,,"1,630"
MarkUp,https://www.producthunt.com/products/markup-io#markup-1,Turn your website into a dynamic canvas ready for feedback,126,15 reviews,"2,465"
Golden,https://www.producthunt.com/products/golden#golden,Mapping human knowledge with AI,113,13 reviews,"1,733"
Canva Video Suite,https://www.producthunt.com/products/canva#canva-video-suite,"Create, edit, and record stunning videos with ease",222,28 reviews,"1,958"
Softr,https://www.producthunt.com/products/softr#softr,"From zero to a website in 5 mins, using building blocks.",240,20 reviews,"1,821"
Prkit.co,https://www.producthunt.com/products/prkit-co#prkit-co,Create a professional press kit for your company,40,4 reviews,"1,706"
Alcamy,https://www.producthunt.com/products/alcamy#alcamy,"Free, open self-learning platform. Learn & teach anything.",60,,"1,662"
Trace 2.0 by Sticker Mule,https://www.producthunt.com/products/trace-by-sticker-mule#trace-2-0-by-sticker-mule,Remove backgrounds instantly for free ✨,85,17 reviews,"1,986"
Forest,https://www.producthunt.com/products/forest#forest,Put down your phone and stay focused. Or a tree will die. 🌳😵,88,9 reviews,"1,611"
Landing Page Checklist,https://www.producthunt.com/products/landing-page-checklist#landing-page-checklist,Build your landing page with these 100+ tools,132,7 reviews,"1,488"
Notion,https://www.producthunt.com/products/notion-4#notion-7,Artificial intelligence-powered email.,129,2 reviews,"1,684"
Fluently Beta,https://www.producthunt.com/products/fluently-beta#fluently-beta,Write fluently in any language,202,15 reviews,"2,152"
Screenity,https://www.producthunt.com/products/screenity#screenity,The most powerful screen recorder for Chrome,108,5 reviews,"1,639"
Shift,https://www.producthunt.com/products/shift#shift-11,Shift is the productivity tool missing from your workday.,214,16 reviews,"2,076"
The Grammarly Keyboard for iOS,https://www.producthunt.com/products/grammarly#the-grammarly-keyboard-for-ios,Grammarly launches new iOS keyboard for better writing,82,12 reviews,"1,659"
Light Phone,https://www.producthunt.com/products/light-phone#light-phone,Phone designed to be used as little as possible,144,,"1,685"
Panda 5 Beta,https://www.producthunt.com/products/panda-2#panda-5-beta,"A smart news reader, powered by integrations.",90,1 review,"2,038"
Product Alternatives,https://www.producthunt.com/products/siftery#product-alternatives,Find alternatives and actual replacements for B2B software,27,1 review,"1,588"
Startup Tracker 3.0,https://www.producthunt.com/products/startup-tracker#startup-tracker-3-0,The startup search engine 🎯,67,6 reviews,"1,652"
Bizplan,https://www.producthunt.com/products/bizplan#bizplan,Modern business planning for startups,100,15 reviews,"2,252"
Sessions,https://www.producthunt.com/products/sessions-4#sessions-5,Not just another video conferencing tool,501,51 reviews,"1,964"
Openvid 2.0,https://www.producthunt.com/posts/openvid-2-0,"One-click desktop, cam, & mic recording tool for Chrome 🎥",130,,"1,647"
Tetra,https://www.producthunt.com/products/tetra#tetra,Automatic note taker for phone calls,65,,"1,643"
Toucan,https://www.producthunt.com/products/toucan#toucan-3,Learn a new language while you browse the web.,206,20 reviews,"1,983"
Collapsed,https://www.producthunt.com/products/collapsed#collapsed,Learn lessons from failed startups,74,,"1,541"
Thread Messaging on Slack,https://www.producthunt.com/products/slack#thread-messaging-on-slack,Keep conversations organized and easy to follow with Threads,68,,"1,528"
Clockwise,https://www.producthunt.com/products/clockwise#clockwise-40a78b18-762b-45f2-8cf8-1bc5e76f86ab,Making your calendar work for you.,75,14 reviews,"1,829"
Instant 3.0,https://www.producthunt.com/products/emberify#instant-3-0,Google Analytics for your life.,129,,"1,560"
Wildfire,https://www.producthunt.com/products/wildfire#wildfire,Record your browser actions for automated workflows 🔥,54,,"1,553"
Glitch,https://www.producthunt.com/products/glitch-2#glitch-2,The community where you'll build the app of your dreams,31,1 review,"1,551"
Supernotes 2,https://www.producthunt.com/products/supernotes#supernotes-2,Fast note-taking and knowledge sharing,117,11 reviews,"2,022"
Slides 5,https://www.producthunt.com/products/designmodo#slides-5,"Create, edit and keep static websites online. 🌟",47,7 reviews,"1,846"
Fastory,https://www.producthunt.com/products/fastory#fastory,"Craft stunning Instagram stories, share them everywhere 🚀",96,,"1,791"
Tally,https://www.producthunt.com/products/tally-4bde8bb5-8264-4e78-a98a-f641d6f4d286#tally-6514ee79-0820-4e3e-bbb4-4429549bb16c,The simplest way to create forms for free,252,22 reviews,"1,531"
WebSlides,https://www.producthunt.com/products/webslides#webslides,The easiest way to make HTML presentations and long-forms.,29,,"1,549"
CleanUp.Pictures,https://www.producthunt.com/products/cleanup-pictures#cleanup-pictures,Remove objects and defects from your pictures - 100% free,222,15 reviews,"1,760"
Namelix,https://www.producthunt.com/products/namelix#namelix,AI business name generator,57,15 reviews,"1,612"
Google Design Sprint Kit,https://www.producthunt.com/products/design-sprint-kits#google-design-sprint-kit,Your resource for planning and running a Design Sprint,17,,"1,567"
Leanbe,https://www.producthunt.com/products/leanbe#leanbe,Data-driven smart roadmap generation platform,315,20 reviews,"1,988"
Now UI Kit,https://www.producthunt.com/posts/now-ui-kit,A beautiful Bootstrap 4 UI kit. Yours free.,24,,"1,594"
DO by IFTTT,https://www.producthunt.com/products/ifttt#do-by-ifttt,Now available in the IFTTT app,55,,"1,501"
Notion Pack,https://www.producthunt.com/products/supercreative#notion-pack,"All the freelance docs you need, as Notion templates.",48,3 reviews,"1,551"
Clay,https://www.producthunt.com/products/create-your-own-website#clay-8,"Create spreadsheets that fill themselves, without code",405,29 reviews,"1,516"
FYI,https://www.producthunt.com/products/fyi#fyi,"Find your documents, like magic 🔮",168,28 reviews,"1,528"
FreeStack,https://www.producthunt.com/products/freestack#freestack,Free tools & resources for designers,30,,"1,515"
The New IFTTT App,https://www.producthunt.com/products/ifttt#the-new-ifttt-app,Do more with the services you love,48,1 review,"1,658"
How not to launch,https://www.producthunt.com/products/how-not-to-launch#how-not-to-launch,Learn lessons on failed products and startups,65,18 reviews,"1,623"
Hyper 3,https://www.producthunt.com/products/hyper#hyper-3-2,A cross-platform terminal powered by web technologies,34,5 reviews,"1,511"
Progress Bar OSX,https://www.producthunt.com/products/progress-bar-osx#progress-bar-osx,This is your life and it's ending ⏳ one minute at a time,37,6 reviews,"1,473"
State of Independence 2021,https://www.producthunt.com/products/contra-2-0-vote-debate-learn#state-of-independence-2021,A breakdown on all things independent work,338,25 reviews,"1,471"
Notion for Android,https://www.producthunt.com/products/notion#notion-for-android,"The all-in-one workspace - notes, tasks, wikis, & databases",75,30 reviews,"1,795"
Pepper,https://www.producthunt.com/products/swat-io#pepper-2,A friendly contact widget for your website,164,,"1,458"
Paste by FiftyThree,https://www.producthunt.com/products/pencil-2#paste-by-fiftythree,Show your work. Paste is a new presentation tool for Slack.,36,3 reviews,"1,527"
Mimo,https://www.producthunt.com/products/mimo#mimo,Learn how to code on your iPhone📱,109,,"1,491"
